TuVung,Nghia,Topic
作业,,Topic A
游戏,,
复习,,
着急,,
打算,,
搬,,
周末,,
一直,,
旅游,,
上网,,
一...也/都+不/没,ngữ pháp,
,,
脚,,Topic B
楼,,
树,,
腿,,
疼,,
容易,,
秘书,,
经理,,
办公室,,
告诉,,
胖,,
其实,,
瘦,,
V + 来/去,ngữ pháp,
V + 了...就 + V,ngữ pháp,
,,
饮料,,Topic C
衬衫,,
裤子,,
爬山,,
小心,,
晴天,,
阴天,,
条,,
记得,,
舒服,,
新鲜,,
甜,,
V + 着 + V,ngữ pháp,
,,
比赛,,
照片,,
年级,,
聪明,,
热情,,
努力,,
总是,,
回答,,
超市,,
蛋糕,,
年轻,,
认真,,
客人,,
又...又...,ngữ pháp,
,,
发烧,,
感冒,,
照顾,,
季节,,
当然,,
草,,
裙子,,
春天,,
夏天,,
冬天,,
秋天,,
越来越,,
,,
眼镜,,
突然,,
离开,,
清楚,,
讲,,
锻炼,,
音乐,,
睡着,,
V + 得/不 + bổ ngữ,ngữ pháp,
